,call_type,location
4052,Medical Incident,"(37.765051338194475, -122.41966897386114)"
4053,Structure Fire,"(37.75090379011593, -122.43397906915474)"
4054,Medical Incident,"(37.738244682085586, -122.4786412930659)"
4055,Medical Incident,"(37.72973949450484, -122.41952907023058)"
4056,Medical Incident,"(37.80276948618678, -122.43827042292713)"
4057,Structure Fire,"(37.75090379011593, -122.43397906915474)"
4058,Medical Incident,"(37.70864917178571, -122.448732919576)"
4059,Medical Incident,"(37.77953108466273, -122.41354254868111)"
4060,Medical Incident,"(37.77588508583154, -122.43036534649241)"
4061,Medical Incident,"(37.788747380441706, -122.43465165929393)"
4062,Medical Incident,"(37.77396509752296, -122.4154581506956)"
4063,Medical Incident,"(37.75247903624499, -122.40437146663753)"
4064,Medical Incident,"(37.75898366432296, -122.41415013591667)"
4065,Structure Fire,"(37.78521973484751, -122.40667465898737)"
4066,Medical Incident,"(37.78114586125961, -122.40902604651616)"
4067,Medical Incident,"(37.79350860301593, -122.39760833367764)"
4068,Alarms,"(37.7459562953856, -122.45423990761294)"
4069,Medical Incident,"(37.786117211837905, -122.4198542456919)"
4070,Medical Incident,"(37.760093049817186, -122.43485819016456)"
4071,Medical Incident,"(37.78486624373789, -122.4127821282671)"
4072,Medical Incident,"(37.784091036175454, -122.41178436945478)"
4073,Medical Incident,"(37.77999353996546, -122.48687804723221)"
4074,Medical Incident,"(37.727910675432064, -122.38366184829177)"
4075,Medical Incident,"(37.78398255874911, -122.41176253071622)"
4076,Medical Incident,"(37.80091620218165, -122.40921104896566)"
4077,Medical Incident,"(37.71751346798067, -122.48059457446064)"
4078,Train / Rail Incident,"(37.79267911710725, -122.39685349996866)"
4079,Medical Incident,"(37.77903213273744, -122.40184327443923)"
4080,Medical Incident,"(37.75502733365366, -122.41219156780423)"
4081,Elevator / Escalator Rescue,"(37.76645441170022, -122.39738569822406)"
4082,Medical Incident,"(37.74821215038151, -122.41586279407977)"
4083,Traffic Collision,"(37.77566572338617, -122.47789762173856)"
4084,Medical Incident,"(37.76315412267954, -122.42509910678862)"
4085,Alarms,"(37.78316342713403, -122.41159927893747)"
4086,Medical Incident,"(37.77530725034212, -122.4574432996502)"
4087,Train / Rail Incident,"(37.79267911710725, -122.39685349996866)"
4088,Medical Incident,"(37.75247903624499, -122.40437146663753)"
4089,Train / Rail Incident,"(37.79267911710725, -122.39685349996866)"
4090,Medical Incident,"(37.78447665902199, -122.41541417863054)"
4091,Medical Incident,"(37.78770663531135, -122.42094802745746)"
4092,Medical Incident,"(37.763974310094554, -122.4689903636509)"
4093,Medical Incident,"(37.78508117426572, -122.40649776780428)"
4094,Medical Incident,"(37.75343058863226, -122.4712508791045)"
4095,Medical Incident,"(37.71067532390043, -122.3965294535874)"
4096,Medical Incident,"(37.780496259614495, -122.43214039082443)"
4097,Medical Incident,"(37.745994401434004, -122.38300082834407)"
4098,Medical Incident,"(37.74996567949237, -122.44271982004241)"
4099,Medical Incident,"(37.762670709045416, -122.43518796229816)"
4100,Medical Incident,"(37.757307610017534, -122.40661980269415)"
4101,Medical Incident,"(37.783834437414136, -122.4129305220591)"
4102,Medical Incident,"(37.78894503632593, -122.42625226166518)"
4103,Medical Incident,"(37.74001739578007, -122.42171039340793)"
4104,Medical Incident,"(37.783991485761376, -122.4080665478042)"
4105,Other,"(37.754639684274224, -122.43106434778586)"
4106,Medical Incident,"(37.75025707124357, -122.50313743277876)"
4107,Alarms,"(37.79212424391519, -122.42352828958283)"
4108,Medical Incident,"(37.78255695630781, -122.4163494281827)"
4109,Traffic Collision,"(37.77566572338617, -122.47789762173856)"
4110,Medical Incident,"(37.784091036175454, -122.41178436945478)"
4111,Medical Incident,"(37.78575147350723, -122.40952196037355)"
4112,Medical Incident,"(37.784091036175454, -122.41178436945478)"
4113,Medical Incident,"(37.79885485340422, -122.43331948057408)"
4114,Medical Incident,"(37.72664747873968, -122.39386696204954)"
4115,Structure Fire,"(37.7501075458546, -122.41377922888809)"
4116,Medical Incident,"(37.77530725034212, -122.4574432996502)"
4117,Medical Incident,"(37.785977476162536, -122.40535937175287)"
4118,Medical Incident,"(37.7958954987191, -122.42260151972266)"
4119,Medical Incident,"(37.78453091895756, -122.43801967135387)"
4120,Medical Incident,"(37.73002972118452, -122.38739556737293)"
4121,Medical Incident,"(37.78508117426572, -122.40649776780428)"
4122,Medical Incident,"(37.77755321480988, -122.40691842754723)"
4123,Structure Fire,"(37.78373004094003, -122.41375367048737)"
4124,Medical Incident,"(37.709723157825586, -122.46123975801015)"
4125,Medical Incident,"(37.765051338194475, -122.41966897386114)"
4126,Medical Incident,"(37.7521714122228, -122.41955736682196)"
4127,Alarms,"(37.775352959669114, -122.42934454448894)"
4128,Alarms,"(37.76329075186656, -122.46203463721727)"
4129,Medical Incident,"(37.72492895462317, -122.46069610378643)"
4130,Structure Fire,"(37.78373004094003, -122.41375367048737)"
4131,Medical Incident,"(37.778797887284476, -122.42252070216878)"
4132,Medical Incident,"(37.786117211837905, -122.4198542456919)"
4133,Traffic Collision,"(37.72643345481963, -122.40310230855683)"
4134,Alarms,"(37.78316342713403, -122.41159927893747)"
4135,Alarms,"(37.775352959669114, -122.42934454448894)"
4136,Gas Leak (Natural and LP Gases),"(37.75480962820437, -122.42828743526314)"
4137,Medical Incident,"(37.784091036175454, -122.41178436945478)"
4138,Traffic Collision,"(37.77252644259709, -122.41007685008275)"
4139,Medical Incident,"(37.72973949450484, -122.41952907023058)"
4140,Structure Fire,"(37.7501075458546, -122.41377922888809)"
4141,Medical Incident,"(37.781180850092596, -122.4288359634266)"
4142,Traffic Collision,"(37.78279444421491, -122.41405376565793)"
4143,Medical Incident,"(37.79359261951478, -122.39889936187551)"
4144,Structure Fire,"(37.781199993952754, -122.43036488822585)"
4145,Medical Incident,"(37.783834437414136, -122.4129305220591)"
4146,Medical Incident,"(37.785942726545485, -122.41890255760904)"
4147,Medical Incident,"(37.754639684274224, -122.43106434778586)"
4148,Medical Incident,"(37.78053538402511, -122.40816079453026)"
4149,Train / Rail Incident,"(37.79267911710725, -122.39685349996866)"
4150,Medical Incident,"(37.783991485761376, -122.4080665478042)"
4151,Medical Incident,"(37.765883266666165, -122.44032425553424)"
4152,Medical Incident,"(37.754639684274224, -122.43106434778586)"
4153,Medical Incident,"(37.75205045798346, -122.40818188812057)"
4154,Alarms,"(37.78697331598785, -122.42584594297352)"
4155,Medical Incident,"(37.775420706711, -122.40340479147905)"
4156,Medical Incident,"(37.77177024990369, -122.42034436948718)"
4157,Structure Fire,"(37.7501075458546, -122.41377922888809)"
4158,Medical Incident,"(37.75199404430409, -122.40912285809982)"
4159,Medical Incident,"(37.70864917178571, -122.448732919576)"
4160,Medical Incident,"(37.78695216306006, -122.4410718228005)"
4161,Medical Incident,"(37.78294352358201, -122.41998844130423)"
4162,Medical Incident,"(37.78533462122951, -122.42468704259977)"
4163,Train / Rail Incident,"(37.79267911710725, -122.39685349996866)"
4164,Medical Incident,"(37.78137782059864, -122.4331620455216)"
4165,Medical Incident,"(37.78113616052921, -122.41202407555724)"
4166,Medical Incident,"(37.78167354020839, -122.40524889281112)"
4167,Train / Rail Incident,"(37.79267911710725, -122.39685349996866)"
4168,Medical Incident,"(37.78791214029942, -122.41515867326716)"
4169,Medical Incident,"(37.772276344330834, -122.49061689614284)"
4170,Medical Incident,"(37.763974310094554, -122.4689903636509)"
4171,Medical Incident,"(37.775554905947885, -122.44046734203805)"
4172,Alarms,"(37.786566734332965, -122.40722838175574)"
4173,Medical Incident,"(37.78137782059864, -122.4331620455216)"
4174,Medical Incident,"(37.77930396572322, -122.43442945067773)"
4175,Medical Incident,"(37.80843250583325, -122.41075758716674)"
4176,Alarms,"(37.791884329767754, -122.40998357203958)"
4177,Smoke Investigation (Outside),"(37.74910205932908, -122.48692720556181)"
4178,Gas Leak (Natural and LP Gases),"(37.753535652429804, -122.4102121457539)"
4179,Medical Incident,"(37.75142522120634, -122.43298834001564)"
4180,Medical Incident,"(37.7833263288474, -122.44032487615966)"
4181,Medical Incident,"(37.783991485761376, -122.4080665478042)"
4182,Medical Incident,"(37.76730331932134, -122.42403145335726)"
4183,Smoke Investigation (Outside),"(37.74910205932908, -122.48692720556181)"
4184,Medical Incident,"(37.78606746641762, -122.39385879410516)"
4185,Medical Incident,"(37.750902581651346, -122.4139257734528)"
4186,Medical Incident,"(37.779666042606245, -122.41371122073035)"
4187,Alarms,"(37.79406255571054, -122.40832278818522)"
4188,Medical Incident,"(37.77704362026356, -122.41358348364804)"
4189,Traffic Collision,"(37.74299701440755, -122.42164447844698)"
4190,Traffic Collision,"(37.79843073839136, -122.4026626640608)"
4191,Medical Incident,"(37.79690190464393, -122.40682767875693)"
4192,Medical Incident,"(37.76410440995883, -122.42187797405046)"
4193,Medical Incident,"(37.790090632912, -122.42065874921207)"
4194,Medical Incident,"(37.71142357777758, -122.41106013557355)"
4195,Medical Incident,"(37.74921003274137, -122.41624179405099)"
4196,Structure Fire,"(37.76374916070977, -122.49426738312347)"
4197,Medical Incident,"(37.71029651961911, -122.41898641481178)"
4198,Medical Incident,"(37.757011408527326, -122.43581310813242)"
4199,Medical Incident,"(37.77801369780421, -122.46735629440008)"
4200,Alarms,"(37.77111434426429, -122.39036821259583)"
4201,Medical Incident,"(37.77981444899151, -122.49862037349651)"
4202,Traffic Collision,"(37.7759254047588, -122.43798984795217)"
4203,Medical Incident,"(37.752600056170664, -122.49241358966208)"
4204,Medical Incident,"(37.78802054847151, -122.42606156129774)"
4205,Citizen Assist / Service Call,"(37.793851928794645, -122.40954104970776)"
4206,Medical Incident,"(37.77021017492032, -122.44534498917825)"
4207,Medical Incident,"(37.72837322353269, -122.36700435847635)"
4208,Medical Incident,"(37.757307610017534, -122.40661980269415)"
4209,Medical Incident,"(37.80032604824151, -122.4096872057499)"
4210,Alarms,"(37.78626844171618, -122.41299723589641)"
4211,Medical Incident,"(37.799102863886006, -122.44550053924627)"
4212,Medical Incident,"(37.729934693604356, -122.39774442710336)"
4213,Alarms,"(37.77111434426429, -122.39036821259583)"
4214,Medical Incident,"(37.77953108466273, -122.41354254868111)"
4215,Alarms,"(37.77111434426429, -122.39036821259583)"
4216,Medical Incident,"(37.730824614087865, -122.4109829086011)"
4217,Medical Incident,"(37.77745741994847, -122.41315769157707)"
4218,Medical Incident,"(37.742703154623115, -122.38792635226464)"
4219,Medical Incident,"(37.7828909801953, -122.46549239024095)"
4220,Alarms,"(37.798713995219465, -122.40961833110674)"
4221,Medical Incident,"(37.77872189451371, -122.39922768225627)"
4222,Structure Fire,"(37.77903213273744, -122.40184327443923)"
4223,Medical Incident,"(37.722452696226654, -122.45131274828123)"
4224,Medical Incident,"(37.78394291462712, -122.41295236246002)"
4225,Alarms,"(37.78626844171618, -122.41299723589641)"
4226,Structure Fire,"(37.72716839113862, -122.43680549269433)"
4227,Medical Incident,"(37.762670709045416, -122.43518796229816)"
4228,Traffic Collision,"(37.757307610017534, -122.40661980269415)"
4229,Traffic Collision,"(37.75421544529792, -122.44220930484828)"
4230,Medical Incident,"(37.777712440431586, -122.41273670742505)"
4231,Medical Incident,"(37.78300407767704, -122.41241174748173)"
4232,Alarms,"(37.79508405978607, -122.40738688930406)"
4233,Medical Incident,"(37.781071878714144, -122.46589413917943)"
4234,Medical Incident,"(37.761042798127654, -122.43335375478458)"
4235,Structure Fire,"(37.786409613771546, -122.4080362362708)"
4236,Medical Incident,"(37.78159558715609, -122.41219066991724)"
4237,Alarms,"(37.791987399812875, -122.39773355325131)"
4238,Alarms,"(37.804438297245156, -122.41160547614237)"
4239,Medical Incident,"(37.78362006937692, -122.42081310312338)"
4240,Alarms,"(37.78234046805375, -122.40377191669008)"
4241,Alarms,"(37.78383851800258, -122.41377551205974)"
4242,Traffic Collision,"(37.75421544529792, -122.44220930484828)"
4243,Structure Fire,"(37.76374916070977, -122.49426738312347)"
4244,Medical Incident,"(37.78356547554972, -122.41505113624923)"
4245,Medical Incident,"(37.789063611220065, -122.40180312648046)"
4246,Medical Incident,"(37.79786453814357, -122.39670127433216)"
4247,Medical Incident,"(37.76410440995883, -122.42187797405046)"
4248,Medical Incident,"(37.80132449631831, -122.41020432213455)"
4249,Medical Incident,"(37.764373209666395, -122.41747849146803)"
4250,Medical Incident,"(37.79284854740931, -122.40235128701147)"
4251,Medical Incident,"(37.77314480117134, -122.391472934142)"
4252,Medical Incident,"(37.73079114968848, -122.4272617431333)"
4253,Traffic Collision,"(37.79843073839136, -122.4026626640608)"
4254,Medical Incident,"(37.752600056170664, -122.49241358966208)"
4255,Structure Fire,"(37.789214135744714, -122.44646398918253)"
4256,Medical Incident,"(37.787504495274156, -122.41416369312329)"
4257,Traffic Collision,"(37.76113404014604, -122.48985330866824)"
4258,Medical Incident,"(37.70964927594883, -122.44277101476986)"
4259,Medical Incident,"(37.72970657656649, -122.50678523418836)"
4260,Medical Incident,"(37.72095809352011, -122.38716628037392)"
4261,Medical Incident,"(37.72615174302879, -122.3955538588196)"
4262,Medical Incident,"(37.78372378299645, -122.41424157522684)"
4263,Medical Incident,"(37.78325041509187, -122.41421600299333)"
4264,Outside Fire,"(37.76088893303751, -122.43500070271304)"
4265,Alarms,"(37.74959544573653, -122.39967876807093)"
4266,Medical Incident,"(37.793828593673354, -122.41016162496118)"
4267,Medical Incident,"(37.78079208027532, -122.40838574549893)"
4268,Medical Incident,"(37.78300407767704, -122.41241174748173)"
4269,Medical Incident,"(37.783310406701474, -122.3883798739193)"
4270,Medical Incident,"(37.769061235353256, -122.42915988365783)"
4271,Medical Incident,"(37.725824973651754, -122.44232442261361)"
4272,Alarms,"(37.730139430902476, -122.43226889442494)"
4273,Outside Fire,"(37.76027168736671, -122.50938162050684)"
4274,Medical Incident,"(37.72397256471072, -122.39492615345311)"
4275,Vehicle Fire,"(37.72092961966538, -122.3972709819635)"
4276,Alarms,"(37.768462245901546, -122.43120487845279)"
4277,Structure Fire,"(37.769076130611595, -122.44716728936832)"
4278,Medical Incident,"(37.784091036175454, -122.41178436945478)"
4279,Medical Incident,"(37.78114586125961, -122.40902604651616)"
4280,Medical Incident,"(37.784006612444536, -122.40486479521074)"
4281,Alarms,"(37.802985056576595, -122.41222223167046)"
4282,Medical Incident,"(37.73641225333125, -122.38291964632427)"
4283,Alarms,"(37.773372370104134, -122.44340157353925)"
4284,Structure Fire,"(37.72716839113862, -122.43680549269433)"
4285,Medical Incident,"(37.790069767129, -122.4001731757253)"
4286,Medical Incident,"(37.778174689386894, -122.4316006049007)"
4287,Structure Fire,"(37.76374916070977, -122.49426738312347)"
4288,Medical Incident,"(37.782044209185486, -122.40851952527467)"
4289,Medical Incident,"(37.796431266662665, -122.4217961912356)"
4290,Medical Incident,"(37.761042798127654, -122.43335375478458)"
4291,Medical Incident,"(37.771888002792124, -122.48178535301084)"
4292,Medical Incident,"(37.781585403105, -122.42309018884136)"
4293,Structure Fire,"(37.76374916070977, -122.49426738312347)"
4294,Structure Fire,"(37.743923082075796, -122.43720578000944)"
4295,Medical Incident,"(37.784205674933816, -122.40761273180911)"
4296,Medical Incident,"(37.78366898472847, -122.41092656213232)"
4297,Medical Incident,"(37.783214310975886, -122.41076482836525)"
4298,Medical Incident,"(37.764373209666395, -122.41747849146803)"
4299,Medical Incident,"(37.79426362575081, -122.40630498811191)"
4300,Medical Incident,"(37.78479798382838, -122.43966386735134)"
4301,Medical Incident,"(37.78300407767704, -122.41241174748173)"
4302,Medical Incident,"(37.779962389810564, -122.46628840843132)"
4303,Medical Incident,"(37.782337590077724, -122.41389135199492)"
4304,Medical Incident,"(37.724890088059205, -122.48462881393816)"
4305,Medical Incident,"(37.7797389055689, -122.407159489165)"
4306,Medical Incident,"(37.784006612444536, -122.40486479521074)"
4307,Medical Incident,"(37.78295706752638, -122.48487351138498)"
4308,Medical Incident,"(37.73726073727324, -122.50100675348837)"
4309,Medical Incident,"(37.71409735913049, -122.46081268603567)"
4310,Medical Incident,"(37.78079208027532, -122.40838574549893)"
4311,Medical Incident,"(37.76019847281039, -122.41255780757362)"
4312,Outside Fire,"(37.77592748780302, -122.5115573582442)"
4313,Medical Incident,"(37.778163838805376, -122.43588531898602)"
4314,Medical Incident,"(37.793828593673354, -122.41016162496118)"
4315,Medical Incident,"(37.780660147235345, -122.43129340624525)"
4316,Medical Incident,"(37.751443831424595, -122.41829760412034)"
4317,Medical Incident,"(37.78800117772754, -122.4219549071582)"
4318,Medical Incident,"(37.787998389385166, -122.4200949210416)"
4319,Medical Incident,"(37.770245197643796, -122.42566904135815)"
4320,Medical Incident,"(37.77874220737065, -122.43046347021475)"
4321,Alarms,"(37.77339330563486, -122.4391143854904)"
4322,Medical Incident,"(37.738074051575374, -122.39991541890227)"
4323,Medical Incident,"(37.78394291462712, -122.41295236246002)"
4324,Medical Incident,"(37.77801369780421, -122.46735629440008)"
4325,Medical Incident,"(37.70881490532333, -122.42362409696946)"
4326,Medical Incident,"(37.72095809352011, -122.38716628037392)"
4327,Medical Incident,"(37.780264971810055, -122.40338721034037)"
4328,Alarms,"(37.770198458047965, -122.38957826549131)"
4329,Medical Incident,"(37.75310805123064, -122.41736286753203)"
4330,Medical Incident,"(37.783386237938174, -122.40985372994119)"
4331,Medical Incident,"(37.772737178596266, -122.41043365928553)"
4332,Medical Incident,"(37.781199993952754, -122.43036488822585)"
4333,Medical Incident,"(37.725881170284005, -122.39245744802503)"
4334,Medical Incident,"(37.780347549238506, -122.40648796780864)"
4335,HazMat,"(37.77732776352611, -122.39308855968541)"
4336,Medical Incident,"(37.784205674933816, -122.40761273180911)"
4337,Medical Incident,"(37.78778674234962, -122.40307088677874)"
4338,Medical Incident,"(37.78186544733037, -122.41428534642068)"
4339,Other,"(37.7570337296554, -122.4767584370093)"
4340,Medical Incident,"(37.757307610017534, -122.40661980269415)"
4341,Medical Incident,"(37.780026750015004, -122.4362591774677)"
4342,Medical Incident,"(37.780264971810055, -122.40338721034037)"
4343,Medical Incident,"(37.780347549238506, -122.40648796780864)"
4344,Medical Incident,"(37.780026750015004, -122.4362591774677)"
4345,Medical Incident,"(37.810520722520614, -122.36513827228869)"
4346,Medical Incident,"(37.76957974718961, -122.41987691713402)"
4347,Alarms,"(37.802985056576595, -122.41222223167046)"
4348,Medical Incident,"(37.751443831424595, -122.41829760412034)"
4349,Medical Incident,"(37.75847672067942, -122.43470515783861)"
4350,Medical Incident,"(37.78133405738638, -122.39902749500452)"
4351,Medical Incident,"(37.78255695630781, -122.4163494281827)"
4352,Medical Incident,"(37.78372378299645, -122.41424157522684)"
4353,Alarms,"(37.79508405978607, -122.40738688930406)"
4354,Medical Incident,"(37.784660412196764, -122.39991472915987)"
4355,Medical Incident,"(37.79919424275753, -122.43584520567705)"
4356,Medical Incident,"(37.7501075458546, -122.41377922888809)"
4357,Medical Incident,"(37.70933751909366, -122.41604645252195)"
4358,Medical Incident,"(37.78487705963871, -122.44234891465797)"
4359,Traffic Collision,"(37.76113404014604, -122.48985330866824)"
4360,Alarms,"(37.77111434426429, -122.39036821259583)"
4361,Medical Incident,"(37.78383851800258, -122.41377551205974)"
4362,Medical Incident,"(37.781585403105, -122.42309018884136)"
4363,Traffic Collision,"(37.79843073839136, -122.4026626640608)"
4364,Medical Incident,"(37.74048196726976, -122.42924779328692)"
4365,Medical Incident,"(37.7631799713918, -122.50712724994914)"
4366,Medical Incident,"(37.796431266662665, -122.4217961912356)"
4367,Medical Incident,"(37.777493843609115, -122.41629170277031)"
4368,Medical Incident,"(37.78159558715609, -122.41219066991724)"
4369,Medical Incident,"(37.802534060877306, -122.43068741603481)"
4370,Structure Fire,"(37.73459870874225, -122.3903445505442)"
4371,Alarms,"(37.791987399812875, -122.39773355325131)"
4372,Medical Incident,"(37.780264971810055, -122.40338721034037)"
4373,Medical Incident,"(37.78600482662267, -122.39507725880982)"
4374,Medical Incident,"(37.780264971810055, -122.40338721034037)"
4375,Medical Incident,"(37.78449726741347, -122.41613590117875)"
4376,Medical Incident,"(37.763591973361024, -122.47768629741721)"
4377,Medical Incident,"(37.78456824024612, -122.43120494551616)"
4378,Structure Fire,"(37.743923082075796, -122.43720578000944)"
4379,Alarms,"(37.770913337297436, -122.42030499432543)"
4380,Medical Incident,"(37.8080594050547, -122.41661365069048)"
4381,Medical Incident,"(37.75186818202388, -122.46660375429884)"
4382,Medical Incident,"(37.74539143611123, -122.50744262571335)"
4383,Medical Incident,"(37.77708785906454, -122.46722040279624)"
4384,Medical Incident,"(37.7250707862034, -122.42104297281088)"
4385,Medical Incident,"(37.769113798591796, -122.43489319359205)"
4386,Medical Incident,"(37.75186818202388, -122.46660375429884)"
4387,Medical Incident,"(37.72996736036248, -122.3820960817358)"
4388,Structure Fire,"(37.789214135744714, -122.44646398918253)"
4389,Medical Incident,"(37.7683474110857, -122.38940133629431)"
4390,Medical Incident,"(37.79786453814357, -122.39670127433216)"
4391,Medical Incident,"(37.77021017492032, -122.44534498917825)"
4392,Medical Incident,"(37.75847672067942, -122.43470515783861)"
4393,Electrical Hazard,"(37.719059825602756, -122.38465573055352)"
4394,Medical Incident,"(37.77301065118991, -122.49504025889847)"
4395,Medical Incident,"(37.77269482368613, -122.42218826142579)"
4396,Medical Incident,"(37.78362006937692, -122.42081310312338)"
4397,Medical Incident,"(37.72397256471072, -122.39492615345311)"
4398,Medical Incident,"(37.751443831424595, -122.41829760412034)"
4399,Medical Incident,"(37.78791852642291, -122.40427756818649)"
4400,Alarms,"(37.768462245901546, -122.43120487845279)"
4401,Medical Incident,"(37.77084743313903, -122.44035770365653)"
4402,Other,"(37.76918286210923, -122.4038882558056)"
4403,Medical Incident,"(37.780264971810055, -122.40338721034037)"
4404,Alarms,"(37.766821331685, -122.42881485800616)"
4405,Medical Incident,"(37.7797389055689, -122.407159489165)"
4406,Medical Incident,"(37.78667901464242, -122.41399503453088)"
4407,Structure Fire,"(37.78750217928465, -122.45278022054482)"
4408,Alarms,"(37.770198458047965, -122.38957826549131)"
4409,Alarms,"(37.776494480907566, -122.41135913835731)"
4410,Medical Incident,"(37.76684556918481, -122.42999958994149)"
4411,Medical Incident,"(37.7631799713918, -122.50712724994914)"
4412,Outside Fire,"(37.76027168736671, -122.50938162050684)"
4413,Medical Incident,"(37.761042798127654, -122.43335375478458)"
4414,Medical Incident,"(37.78781815577055, -122.40838259859991)"
4415,Medical Incident,"(37.78469892197586, -122.4135935128765)"
4416,Alarms,"(37.74730041887324, -122.42693789781727)"
4417,Medical Incident,"(37.793828593673354, -122.41016162496118)"
4418,Structure Fire,"(37.769076130611595, -122.44716728936832)"
4419,Alarms,"(37.78626844171618, -122.41299723589641)"
4420,Medical Incident,"(37.78480738867744, -122.41361543826261)"
4421,Medical Incident,"(37.76554760631542, -122.41145526476474)"
4422,Medical Incident,"(37.810520722520614, -122.36513827228869)"
4423,Structure Fire,"(37.804438297245156, -122.41160547614237)"
4424,Medical Incident,"(37.76019847281039, -122.41255780757362)"
4425,Medical Incident,"(37.7368469604958, -122.38490710609751)"
4426,Medical Incident,"(37.7631799713918, -122.50712724994914)"
4427,Medical Incident,"(37.78295706752638, -122.48487351138498)"
4428,Medical Incident,"(37.738074051575374, -122.39991541890227)"
4429,Alarms,"(37.74959544573653, -122.39967876807093)"
4430,Structure Fire,"(37.78750217928465, -122.45278022054482)"
4431,Medical Incident,"(37.73049344633055, -122.43346740800116)"
4432,Medical Incident,"(37.75362874594843, -122.39552313858634)"
4433,Alarms,"(37.78626844171618, -122.41299723589641)"
4434,Medical Incident,"(37.784091036175454, -122.41178436945478)"
4435,Citizen Assist / Service Call,"(37.78480738867744, -122.41361543826261)"
4436,Medical Incident,"(37.76972086304567, -122.4179492178342)"
4437,Water Rescue,"(37.7915253713789, -122.483480228628)"
4438,Medical Incident,"(37.721795066203626, -122.45461655414866)"
4439,Medical Incident,"(37.79913472048319, -122.40839641540325)"
4440,Structure Fire,"(37.73459870874225, -122.3903445505442)"
4441,Medical Incident,"(37.74048196726976, -122.42924779328692)"
4442,Medical Incident,"(37.7450956805183, -122.49296382041948)"
4443,Medical Incident,"(37.76226885074992, -122.4640420031679)"
4444,Medical Incident,"(37.78608542811721, -122.43327157966019)"
4445,Vehicle Fire,"(37.78533462122951, -122.42468704259977)"
4446,Fuel Spill,"(37.74676574636786, -122.42248018580976)"
4447,Alarms,"(37.770913337297436, -122.42030499432543)"
4448,Medical Incident,"(37.74061362284985, -122.4206809527971)"
4449,Alarms,"(37.798713995219465, -122.40961833110674)"
4450,Structure Fire,"(37.76374916070977, -122.49426738312347)"
4451,Medical Incident,"(37.74273600237612, -122.48158176862339)"
4452,Medical Incident,"(37.783386237938174, -122.40985372994119)"
4453,Medical Incident,"(37.781585403105, -122.42309018884136)"
4454,Medical Incident,"(37.73044977269068, -122.37290800251085)"
4455,Medical Incident,"(37.78600482662267, -122.39507725880982)"
4456,Structure Fire,"(37.73459870874225, -122.3903445505442)"
4457,Medical Incident,"(37.72476337085055, -122.39471952353287)"
4458,Medical Incident,"(37.73664558897488, -122.38288389341162)"
4459,Medical Incident,"(37.76019847281039, -122.41255780757362)"
4460,Medical Incident,"(37.75412098008639, -122.41478205113553)"
4461,Medical Incident,"(37.79679282865556, -122.41483656842166)"
4462,Structure Fire,"(37.76374916070977, -122.49426738312347)"
4463,Medical Incident,"(37.77965802625415, -122.43830662707136)"
4464,Medical Incident,"(37.790069767129, -122.4001731757253)"
4465,Medical Incident,"(37.78186544733037, -122.41428534642068)"
4466,Medical Incident,"(37.78778674234962, -122.40307088677874)"
4467,Medical Incident,"(37.7450956805183, -122.49296382041948)"
4468,Medical Incident,"(37.7590293975402, -122.42584342355374)"
4469,Medical Incident,"(37.78138128281189, -122.45629573872876)"
4470,Alarms,"(37.78263551242943, -122.41486282731442)"
4471,Medical Incident,"(37.78202243717766, -122.4130541482534)"
4472,Medical Incident,"(37.71625468047474, -122.45258393042046)"
4473,Medical Incident,"(37.780264971810055, -122.40338721034037)"
4474,Medical Incident,"(37.781199993952754, -122.43036488822585)"
4475,Structure Fire,"(37.743923082075796, -122.43720578000944)"
4476,Medical Incident,"(37.79845065023784, -122.40162896911167)"
4477,Medical Incident,"(37.7797389055689, -122.407159489165)"
4478,Medical Incident,"(37.778174689386894, -122.4316006049007)"
4479,Alarms,"(37.74951187279234, -122.42368456023766)"
4480,Medical Incident,"(37.78651981911321, -122.41480664822932)"
4481,Medical Incident,"(37.770245197643796, -122.42566904135815)"
4482,Medical Incident,"(37.77872189451371, -122.39922768225627)"
4483,Medical Incident,"(37.7797389055689, -122.407159489165)"
4484,Other,"(37.752600056170664, -122.49241358966208)"
4485,Medical Incident,"(37.76828478255548, -122.41888518485825)"
4486,Structure Fire,"(37.73459870874225, -122.3903445505442)"
4487,Medical Incident,"(37.79838307909105, -122.40752173092427)"
4488,Alarms,"(37.767244220961615, -122.51022574905221)"
4489,Medical Incident,"(37.748496507769545, -122.44427646885758)"
4490,Medical Incident,"(37.78651981911321, -122.41480664822932)"
4491,Alarms,"(37.78383851800258, -122.41377551205974)"
4492,Structure Fire,"(37.769076130611595, -122.44716728936832)"
4493,Medical Incident,"(37.783991485761376, -122.4080665478042)"
4494,Medical Incident,"(37.779666042606245, -122.41371122073035)"
4495,Medical Incident,"(37.78434553646269, -122.40778514612064)"
4496,Structure Fire,"(37.769076130611595, -122.44716728936832)"
4497,Outside Fire,"(37.77592748780302, -122.5115573582442)"
4498,Medical Incident,"(37.78186544733037, -122.41428534642068)"
4499,Traffic Collision,"(37.75421544529792, -122.44220930484828)"
4500,Medical Incident,"(37.78802054847151, -122.42606156129774)"
4501,Structure Fire,"(37.769076130611595, -122.44716728936832)"
4502,Structure Fire,"(37.779666042606245, -122.41371122073035)"
4503,Structure Fire,"(37.769076130611595, -122.44716728936832)"
